FileName,TissueCategory,Numberofdatapoints,RMSE,C1,K1,K2,PublicationLink,ExperimentalDetails,FibreOrientation,Dispersion,InitialGuesses
Subject202_Sample8_AgedVentral_Equibiaxial.csv,epithelial and connective tissue,182,0.0010928924300355096,0.0002,0.0001,0.6592,,This is a test upload anisotropic 1,,80,0.26
Subject201_Sample8_AgedVentral_Equibiaxial.csv,epithelial and connective tissue,176,0.0019756416538209264,0.0016,0.0001,3.6804,,This is a test upload anisotropic 1,,80,0.29
Subject202_Sample5_AgedVentral_Equibiaxial.csv,epithelial and connective tissue,182,0.004218432748190055,0.0019,0.0001,4.2035,,This is a test upload anisotropic 1,,60,0.3
Subject112_Sample4_YoungDorsal_Equibiaxial.csv,epithelial and connective tissue,183,0.007738087650707003,0.0005,0.0001,9.7508,,This is a test upload anisotropic 1,,90,0.3
Subject203_Sample2_AgedDorsal_Equibiaxial.csv,epithelial and connective tissue,182,0.0013856163593343601,0.0022,0.0009,6.4001,,This is a test upload anisotropic 1,,50,0.33
Subject113_Sample7_YoungVentral_Equibiaxial.csv,epithelial and connective tissue,182,0.0144130531458486,0.0202,-0.0348,-1.0401,,This is a test upload anisotropic 1,,82,0.23
Subject144_Sample3_YoungDorsal_Equibiaxial.csv,epithelial and connective tissue,61,0.003773224356271706,0.0006,0.0001,4.9845,,This is a test upload anisotropic 1,,90,0.25
Subject111_Sample4_YoungDorsal_Equibiaxial.csv,epithelial and connective tissue,182,0.013604296008958206,0.0052,0,7.2043,,This is a test upload anisotropic 1,,110,0.3
Subject201_Sample7_AgedVentral_Equibiaxial.csv,epithelial and connective tissue,182,0.0019113635272301642,0.0002,0.0001,4.1412,,This is a test upload anisotropic 1,,80,0.3
Subject205_Sample5_AgedVentral_Equibiaxial.csv,epithelial and connective tissue,61,0.002609931539247736,0.0064,-0.0011,-0.1311,,This is a test upload anisotropic 1,,95,0.32
Subject113_Sample4_YoungDorsal_Equibiaxial.csv,epithelial and connective tissue,182,0.0019465157034601994,0.0009,0,9.5216,,This is a test upload anisotropic 1,,80,0.3
Subject202_Sample4_AgedDorsal_Equibiaxial.csv,epithelial and connective tissue,183,0.003507826476773679,0.0014,0,6.0847,,This is a test upload anisotropic 1,,110,0.3
Subject205_Sample6_AgedVentral_Equibiaxial.csv,epithelial and connective tissue,61,0.0013617933885160722,0.0129,-0.0071,-1.1419,,This is a test upload anisotropic 1,,110,0.3
Subject113_Sample8_YoungVentral_Equibiaxialup.csv,epithelial and connective tissue,183,0.004871448458892707,0.094,-0.0718,-0.5093,,This is a test upload anisotropic 1,,80,0.3
Subject112_Sample2_YoungDorsal_Equibiaxial.csv,epithelial and connective tissue,184,0.0012210292306203342,0.0005,0.0001,11.1021,,This is a test upload anisotropic 1,,80,0.3
Subject113_Sample8_YoungVentral_Equibiaxial.csv,epithelial and connective tissue,184,0.005114976572291905,0.0808,-0.0631,-0.533,,This is a test upload anisotropic 1,,80,0.3
Subject203_Sample6_AgedVentral_Equibiaxial.csv,epithelial and connective tissue,183,0.0009381093468716458,0.0307,-0.0207,-0.3903,,This is a test upload anisotropic 1,,80,0.3
Subject113_Sample6_YoungVentral_Equibiaxial.csv,epithelial and connective tissue,183,0.0004799205808412606,-0.0003,0.0001,2.5761,,This is a test upload anisotropic 1,,80,0.3
Subject204_Sample3_AgedDorsal_Equibiaxial.csv,epithelial and connective tissue,62,0.0005780246137093547,0.0015,0.0013,4.368,,This is a test upload anisotropic 1,,80,0.3
Subject113_Sample3_YoungDorsal_Equibiaxial.csv,epithelial and connective tissue,184,0.0017690173376569622,-0.0033,0.0005,6.5273,,This is a test upload anisotropic 1,,80,0.3
Subject143_Sample1_YoungDorsal_Equibiaxial.csv,epithelial and connective tissue,62,0.0014467519337188913,0.0014,0.0003,3.0039,,This is a test upload anisotropic 1,,80,0.3
Subject203_Sample4_AgedDorsal_Equibiaxial.csv,epithelial and connective tissue,183,0.006170846344004233,0.0012,0,6.5604,,This is a test upload anisotropic 1,,110,0.3
