EntryName,PublicationLink,Authors,DataAvailability,ResultType,C10,C01,ShearModulus,FittingQualityMetric,Stretch_Range,Tissue_Category,Tissue_Origin,Tissue_Health_Status,Other_Tissue_Details,Sample_Dimensions,Sample_Preparation_details,TestingMedium,ExperimentalDetails,Modelling Details,
Thisisatestmanual,DOILINK,Authorsmanual,No,Averaged,1,2,2,0.22,1.6,Other,Ovine,Not Known,"[""Unique Tissue Name"":Aortic Valve,""directionality"": Radial , ""Additional Characteristics"": No]","[""Samplethickness"":N/A,""CSA "": N/A,""sampleage"":3 days]","[""Tools"":Cutting tools,saw,""Chemicaltreatment "": None,""Extra details"":None]",Dry,"[""testingequipment"":Uniaxial Tester]","[""experimentalmode"":UT,""mediummode "": Dry,""preconditioning"":N/A]","[""Software"":MATLAB,""Optimization_detail "": function1,""FittingMetric"":0.22(RMSE),"" OptimizationextraDetails"":None]"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Test2,Test2,Test2,No,Averaged,1,3,8,0.24(RMSE),1.6,Other,Other,Not Known,"[""Unique Tissue Name"":Aortic Valve,""directionality"": Radial , ""Additional Characteristics"": No]","[""Samplethickness"":N/A,""CSA "": N/A,""sampleage"":3 days]","[""Tools"":Cutting tools,saw,""Chemicaltreatment "": None,""Extra details"":None]",Fluid or dry medium,"[""testingequipment"":Uniaxial Tester]","[""experimentalmode"":custom,""mediummode "": Fluid or dry medium,""preconditioning"":N/A]","[""Software"":OTHER,""Optimization_detail "": function1,""FittingMetric"":0.24(RMSE),"" OptimizationextraDetails"":None]"
Test2,Test2,Test2,No,Averaged,1,3,8,0.24(RMSE),1.6,Other,Other,Not Known,"[""Unique Tissue Name"":Aortic Valve,""directionality"": Radial , ""Additional Characteristics"": No]","[""Samplethickness"":N/A,""CSA "": N/A,""sampleage"":3 days]","[""Tools"":Cutting tools,saw,""Chemicaltreatment "": None,""Extra details"":None]",Fluid or dry medium,"[""testingequipment"":Uniaxial Tester]","[""experimentalmode"":custom,""mediummode "": Fluid or dry medium,""preconditioning"":N/A]","[""Software"":OTHER,""Optimization_detail "": function1,""FittingMetric"":0.24(RMSE),"" OptimizationextraDetails"":None]"
Test2,Test2,Test2,No,Averaged,2,4,12,0.24(RMSE),1.6,Other,Other,Not Known,"[""Unique Tissue Name"":Aortic Valve,""directionality"": Radial , ""Additional Characteristics"": No]","[""Samplethickness"":N/A,""CSA "": N/A,""sampleage"":3 days]","[""Tools"":Cutting tools,saw,""Chemicaltreatment "": None,""Extra details"":None]",Fluid or dry medium,"[""testingequipment"":Uniaxial Tester]","[""experimentalmode"":custom,""mediummode "": Fluid or dry medium,""preconditioning"":N/A]","[""Software"":OTHER,""Optimization_detail "": function1,""FittingMetric"":0.24(RMSE),"" OptimizationextraDetails"":None]"
Sample1_0.2_circumferential.csv,Thisistestapp,Thisistestapp,No,,2.819735507574504,0,"(5.6395,)",0.5102,1,Cardiac,Porcine,Not Known,"[""Unique Tissue Name"":Aortic Valve, ""Additional Characteristics"": No]","[""Samplethickness"":1,""CSA "": 1,""sampleage"":3 days]","[""Tools"":N/A,""Chemicaltreatment "": N/A,""Extra details"":None]",Fluid or dry medium,Uniaxial Tester,"[""experimentalmode"":UC,""mediummode "": Fluid or dry medium,""preconditioning"":Not Known]","[""Software"":""Python Flask App"",""Optimization_Type "": ('minimize',),""Algorithm"":('SLSQP',)]"
Sample1_0.2_radial.csv,Thisistestapp,Thisistestapp,No,,0.2925136664109077,0,"(0.585,)",0.1359,1,Cardiac,Porcine,Not Known,"[""Unique Tissue Name"":Aortic Valve, ""Additional Characteristics"": No]","[""Samplethickness"":1,""CSA "": 1,""sampleage"":3 days]","[""Tools"":N/A,""Chemicaltreatment "": N/A,""Extra details"":None]",Fluid or dry medium,Uniaxial Tester,"[""experimentalmode"":UC,""mediummode "": Fluid or dry medium,""preconditioning"":Not Known]","[""Software"":""Python Flask App"",""Optimization_Type "": ('minimize',),""Algorithm"":('SLSQP',)]"
Sample1_0.5_circumferential.csv,Thisistestapp,Thisistestapp,No,,3.0637524471800544,0,"(6.1275,)",0.8517,1,Cardiac,Porcine,Not Known,"[""Unique Tissue Name"":Aortic Valve, ""Additional Characteristics"": No]","[""Samplethickness"":1,""CSA "": 1,""sampleage"":3 days]","[""Tools"":N/A,""Chemicaltreatment "": N/A,""Extra details"":None]",Fluid or dry medium,Uniaxial Tester,"[""experimentalmode"":UC,""mediummode "": Fluid or dry medium,""preconditioning"":Not Known]","[""Software"":""Python Flask App"",""Optimization_Type "": ('minimize',),""Algorithm"":('SLSQP',)]"
Sample1_0.5_radial.csv,Thisistestapp,Thisistestapp,No,,0.21605649274170463,0,"(0.4321,)",0.094,1,Cardiac,Porcine,Not Known,"[""Unique Tissue Name"":Aortic Valve, ""Additional Characteristics"": No]","[""Samplethickness"":1,""CSA "": 1,""sampleage"":3 days]","[""Tools"":N/A,""Chemicaltreatment "": N/A,""Extra details"":None]",Fluid or dry medium,Uniaxial Tester,"[""experimentalmode"":UC,""mediummode "": Fluid or dry medium,""preconditioning"":Not Known]","[""Software"":""Python Flask App"",""Optimization_Type "": ('minimize',),""Algorithm"":('SLSQP',)]"
Sample2_0.2_circumferential.csv,Thisistestapp,Thisistestapp,No,,2.893799109483081,2.65725e-15,"(5.7876,)",0.7677,1,Cardiac,Porcine,Not Known,"[""Unique Tissue Name"":Aortic Valve, ""Additional Characteristics"": No]","[""Samplethickness"":1,""CSA "": 1,""sampleage"":3 days]","[""Tools"":N/A,""Chemicaltreatment "": N/A,""Extra details"":None]",Fluid or dry medium,Uniaxial Tester,"[""experimentalmode"":UC,""mediummode "": Fluid or dry medium,""preconditioning"":Not Known]","[""Software"":""Python Flask App"",""Optimization_Type "": ('minimize',),""Algorithm"":('SLSQP',)]"
Sample2_0.2_radial.csv,Thisistestapp,Thisistestapp,No,,0.2691184367713061,7.4664e-15,"(0.5382,)",0.1967,1,Cardiac,Porcine,Not Known,"[""Unique Tissue Name"":Aortic Valve, ""Additional Characteristics"": No]","[""Samplethickness"":1,""CSA "": 1,""sampleage"":3 days]","[""Tools"":N/A,""Chemicaltreatment "": N/A,""Extra details"":None]",Fluid or dry medium,Uniaxial Tester,"[""experimentalmode"":UC,""mediummode "": Fluid or dry medium,""preconditioning"":Not Known]","[""Software"":""Python Flask App"",""Optimization_Type "": ('minimize',),""Algorithm"":('SLSQP',)]"
Sample2_0.5_circumferential.csv,Thisistestapp,Thisistestapp,No,,3.161054213529241,1.845907e-14,"(6.3221,)",0.6885,1,Cardiac,Porcine,Not Known,"[""Unique Tissue Name"":Aortic Valve, ""Additional Characteristics"": No]","[""Samplethickness"":1,""CSA "": 1,""sampleage"":3 days]","[""Tools"":N/A,""Chemicaltreatment "": N/A,""Extra details"":None]",Fluid or dry medium,Uniaxial Tester,"[""experimentalmode"":UC,""mediummode "": Fluid or dry medium,""preconditioning"":Not Known]","[""Software"":""Python Flask App"",""Optimization_Type "": ('minimize',),""Algorithm"":('SLSQP',)]"
Sample2_0.5_radial.csv,Thisistestapp,Thisistestapp,No,,0.1711447977896843,7.4291e-16,"(0.3423,)",0.0946,1,Cardiac,Porcine,Not Known,"[""Unique Tissue Name"":Aortic Valve, ""Additional Characteristics"": No]","[""Samplethickness"":1,""CSA "": 1,""sampleage"":3 days]","[""Tools"":N/A,""Chemicaltreatment "": N/A,""Extra details"":None]",Fluid or dry medium,Uniaxial Tester,"[""experimentalmode"":UC,""mediummode "": Fluid or dry medium,""preconditioning"":Not Known]","[""Software"":""Python Flask App"",""Optimization_Type "": ('minimize',),""Algorithm"":('SLSQP',)]"
Sample3_0.2_circumferential.csv,Thisistestapp,Thisistestapp,No,,2.3997670616401012,2.082738e-14,"(4.7995,)",0.7618,1,Cardiac,Porcine,Not Known,"[""Unique Tissue Name"":Aortic Valve, ""Additional Characteristics"": No]","[""Samplethickness"":1,""CSA "": 1,""sampleage"":3 days]","[""Tools"":N/A,""Chemicaltreatment "": N/A,""Extra details"":None]",Fluid or dry medium,Uniaxial Tester,"[""experimentalmode"":UC,""mediummode "": Fluid or dry medium,""preconditioning"":Not Known]","[""Software"":""Python Flask App"",""Optimization_Type "": ('minimize',),""Algorithm"":('SLSQP',)]"
