EntryName,PublicationLink,Authors,DataAvailability,ResultType,Mu1,Alpha1,Mu2,Alpha2,ShearModulus,FittingQualityMetric,Stretch_Range,Tissue_Category,Tissue_Origin,Tissue_Health_Status,Other_Tissue_Details,Sample_Dimensions,Sample_Preparation_details,TestingMedium,Experimental_Equipment,ExperimentalDetails,Modelling Details,ModellSettings
bovas_medmenr01_FLuidPBSyield.csv,"10.1098/rsos.181166,https://doi.org/10.1101/292623.
","John M Peloquin Michael H Santare , Dawn M Elliott",Yes,Individual,0.936619135,14.82607398,0.936437928,14.82607631,13.88504238,0.0542,1.191036,Musculoskeletal,Bovine,Healthy,"[""Unique Tissue Name"":Bovine Medial Meniscus, ""Additional Characteristics"": No layerwise idenitifiers]","[""Samplethickness"":0.972882471,""Samplewidth "": 5.5 ± 0.5,""Samplelength "": 12.75 ± 0.3,""sampleage"":N/A]","[""Tools"":Leica SM2400 sledge microtome,""Chemicaltreatment "": Phosphate Buffer Solution,""Extra details"":None]",Fluid,Instron 5943 Universal tester,"[""experimentalmode"":UT,""mediummode "": Dry,""preconditioning"":10 cycles @ 4%]","[""Software"":""Python Flask App"",""Optimization_Type "": minimize,""Algorithm"":trust-constr]","[""InitialGuesses"":[1, 1, 1, 1],""Bounds"": Least_sqaures No Bounds]"
bovab_medmen02_modifiedyield.csv,"10.1098/rsos.181166,https://doi.org/10.1101/292623.
","John M Peloquin Michael H Santare , Dawn M Elliott",Yes,Individual,0.872150606,15.92397942,0.875640078,15.92397267,13.91588849,0.03,1.113847,Musculoskeletal,Bovine,Healthy,"[""Unique Tissue Name"":Bovine Medial Meniscus, ""Additional Characteristics"": No layerwise idenitifiers]","[""Samplethickness"":1.67619787,""Samplewidth "": 6 ± 0.5,""Samplelength "": 13 ± 0.5,""sampleage"":N/A]","[""Tools"":Leica SM2400 sledge microtome,""Chemicaltreatment "": Phosphate Buffer Solution,""Extra details"":None]",Dry,Instron 5943 Universal tester,"[""experimentalmode"":UT,""mediummode "": Dry,""preconditioning"":10 cycles @ 4%]","[""Software"":""Python Flask App"",""Optimization_Type "": minimize,""Algorithm"":trust-constr]","[""InitialGuesses"":[1, 1, 1, 1],""Bounds"": Least_sqaures No Bounds]"
bovad_medmen01c_modifiedyield.csv,"10.1098/rsos.181166,https://doi.org/10.1101/292623.
","John M Peloquin Michael H Santare , Dawn M Elliott",Yes,Individual,0.406384484,21.86344094,0.407074623,21.86344158,8.892507704,0.0428,1.168157,Musculoskeletal,Bovine,Healthy,"[""Unique Tissue Name"":Bovine Medial Meniscus, ""Additional Characteristics"": No layerwise idenitifiers]","[""Samplethickness"":1.732759365,""Samplewidth "": 5 ± 0.5,""Samplelength "": 11 ± 0.5,""sampleage"":N/A]","[""Tools"":Leica SM2400 sledge microtome,""Chemicaltreatment "": Phosphate Buffer Solution,""Extra details"":None]",Dry,Instron 5943 Universal tester,"[""experimentalmode"":UT,""mediummode "": Dry,""preconditioning"":10 cycles @ 4%]","[""Software"":""Python Flask App"",""Optimization_Type "": minimize,""Algorithm"":trust-constr]","[""InitialGuesses"":[1, 1, 1, 1],""Bounds"": Least_sqaures No Bounds]"
bovad_medmen01_modifiedyield.csv,"10.1098/rsos.181166,https://doi.org/10.1101/292623.
","John M Peloquin Michael H Santare , Dawn M Elliott",Yes,Individual,0.818056494,15.97492916,0.818528689,15.97492984,13.07216646,0.1224,1.211788,Musculoskeletal,Bovine,Healthy,"[""Unique Tissue Name"":Bovine Medial Meniscus, ""Additional Characteristics"": No layerwise idenitifiers]","[""Samplethickness"":1.603795735,""Samplewidth "": 5.5 ± 0.5,""Samplelength "": 14.5 ± 0.5,""sampleage"":N/A]","[""Tools"":Leica SM2400 sledge microtome,""Chemicaltreatment "": Phosphate Buffer Solution,""Extra details"":None]",Dry,Instron 5943 Universal tester,"[""experimentalmode"":UT,""mediummode "": Dry,""preconditioning"":10 cycles @ 4%]","[""Software"":""Python Flask App"",""Optimization_Type "": minimize,""Algorithm"":trust-constr]","[""InitialGuesses"":[1, 1, 1, 1],""Bounds"": Least_sqaures No Bounds]"
bovab_medmen03_modifiedyield.csv,"10.1098/rsos.181166,https://doi.org/10.1101/292623.
","John M Peloquin Michael H Santare , Dawn M Elliott",Yes,Individual,0.615074628,10.90214015,0.615775111,10.90213281,6.709445922,0.0194,1.189921,Musculoskeletal,Bovine,Healthy,"[""Unique Tissue Name"":Bovine Medial Meniscus, ""Additional Characteristics"": No layerwise idenitifiers]","[""Samplethickness"":1.80371273,""Samplewidth "": 7 ± 0.5,""Samplelength "": 15 ± 0.5,""sampleage"":N/A]","[""Tools"":Leica SM2400 sledge microtome,""Chemicaltreatment "": Phosphate Buffer Solution,""Extra details"":None]",Dry,Instron 5943 Universal tester,"[""experimentalmode"":UT,""mediummode "": Dry,""preconditioning"":10 cycles @ 4%]","[""Software"":""Python Flask App"",""Optimization_Type "": minimize,""Algorithm"":trust-constr]","[""InitialGuesses"":[1, 1, 1, 1],""Bounds"": Least_sqaures No Bounds]"
bovaa_medmen03_modifiedyield.csv,"10.1098/rsos.181166,https://doi.org/10.1101/292623.
","John M Peloquin Michael H Santare , Dawn M Elliott",Yes,Individual,0.395074074,17.2367348,0.408597379,17.23673316,6.926335511,0.0437,1.2064,Musculoskeletal,Bovine,Healthy,"[""Unique Tissue Name"":Bovine Medial Meniscus, ""Additional Characteristics"": No layerwise idenitifiers]","[""Samplethickness"":1.51893445,""Samplewidth "": 6 ± 0.5,""Samplelength "": 9 ± 0.5,""sampleage"":N/A]","[""Tools"":Leica SM2400 sledge microtome,""Chemicaltreatment "": Phosphate Buffer Solution,""Extra details"":None]",Dry,Instron 5943 Universal tester,"[""experimentalmode"":UT,""mediummode "": Dry,""preconditioning"":10 cycles @ 4%]","[""Software"":""Python Flask App"",""Optimization_Type "": minimize,""Algorithm"":trust-constr]","[""InitialGuesses"":[1, 1, 1, 1],""Bounds"": Least_sqaures No Bounds]"
bovaa_medmen01final_modifiedyield.csv,"10.1098/rsos.181166,https://doi.org/10.1101/292623.
","John M Peloquin Michael H Santare , Dawn M Elliott",Yes,Individual,0.184529704,22.59284562,0.187653808,22.59292591,4.204349856,0.0341,1.187629,Musculoskeletal,Bovine,Healthy,"[""Unique Tissue Name"":Bovine Medial Meniscus, ""Additional Characteristics"": No layerwise idenitifiers]","[""Samplethickness"":1.37963635,""Samplewidth "": 8± 0.5,""Samplelength "": 9 ± 0.5,""sampleage"":N/A]","[""Tools"":Leica SM2400 sledge microtome,""Chemicaltreatment "": Phosphate Buffer Solution,""Extra details"":None]",Dry,Instron 5943 Universal tester,"[""experimentalmode"":UT,""mediummode "": Dry,""preconditioning"":10 cycles @ 4%]","[""Software"":""Python Flask App"",""Optimization_Type "": minimize,""Algorithm"":trust-constr]","[""InitialGuesses"":[1, 1, 1, 1],""Bounds"": Least_sqaures No Bounds]"



