Modelname,Mu1_OG2,Alpha1_OG2,Mu2_OG2,Alpha1_OG2,Initialguesses,bounds,rmse,bic,filename,Publicationlink,Notes,Category
Ogden2,0.107,2.409,0.115,2.409,"1, ,, 1, ,, 1, ,, 1",unbounded,0.149,-1161.766,updated_file11.csv,Placeholderlink,Notes,Vasculature
Ogden2,0.817,4.947,-1.035,4.714,"1, ,, 1, ,, 1, ,, 1",unbounded,0.149,-1161.766,updated_file11.csv,Placeholderlink,Notes,Biomaterial
Ogden2,-0.004,9.389,0.003,9.53,"1, ,, 1, ,, 1, ,, 1",unbounded,0.149,-1161.766,updated_file11.csv,Placeholderlink,Notes,Biomaterial
Ogden2,96.324,0.344,96.325,0.345,"1, ,, 1, ,, 1, ,, 1",unbounded,0.149,-1161.766,updated_file11.csv,Placeholderlink,Notes,Biomaterial
Ogden2,10,7,36.05,17.06,"1, ,, 1, ,, 1, ,, 1",unbounded,0.149,-1161.766,updated_file11.csv,Placeholderlink,Notes,Biomaterial
Ogden2,20,8,26.63,14.06,"1, ,, 1, ,, 1, ,, 1",unbounded,0.149,-1161.766,updated_file11.csv,Placeholderlink,Notes,Biomaterial
Ogden2,22,9,16.71,4.99,"1, ,, 1, ,, 1, ,, 1",unbounded,0.149,-1161.766,updated_file11.csv,Placeholderlink,Notes,Biomaterial
Ogden2,37,14,1.15,2.8,"1, ,, 1, ,, 1, ,, 1",unbounded,0.149,-1161.766,updated_file11.csv,Placeholderlink,Notes,Biomaterial
Ogden2,24,8,30.27,1.29,"1, ,, 1, ,, 1, ,, 1",unbounded,0.149,-1161.766,updated_file11.csv,Placeholderlink,Notes,Biomaterial
Ogden2,7,17,32.8,9.85,"1, ,, 1, ,, 1, ,, 1",unbounded,0.149,-1161.766,updated_file11.csv,Placeholderlink,Notes,Biomaterial
Ogden2,25,16,1.25,11.97,"1, ,, 1, ,, 1, ,, 1",unbounded,0.149,-1161.766,updated_file11.csv,Placeholderlink,Notes,Biomaterial
Ogden2,25,9,48.54,18.01,"1, ,, 1, ,, 1, ,, 1",unbounded,0.149,-1161.766,updated_file11.csv,Placeholderlink,Notes,Biomaterial
Ogden2,13,4,33.53,18.45,"1, ,, 1, ,, 1, ,, 1",unbounded,0.149,-1161.766,updated_file11.csv,Placeholderlink,Notes,Biomaterial
Ogden2,2,7,15.36,7.64,"1, ,, 1, ,, 1, ,, 1",unbounded,0.149,-1161.766,updated_file11.csv,Placeholderlink,Notes,Biomaterial
Ogden2,39,18,10.82,18.65,"1, ,, 1, ,, 1, ,, 1",unbounded,0.149,-1161.766,updated_file11.csv,Placeholderlink,Notes,Biomaterial
Ogden2,40,8,46.36,11.14,"1, ,, 1, ,, 1, ,, 1",unbounded,0.149,-1161.766,updated_file11.csv,Placeholderlink,Notes,Biomaterial
Ogden2,24,3,16.15,11.69,"1, ,, 1, ,, 1, ,, 1",unbounded,0.149,-1161.766,updated_file11.csv,Placeholderlink,Notes,Biomaterial
Ogden2,47,17,20.76,3.98,"1, ,, 1, ,, 1, ,, 1",unbounded,0.149,-1161.766,updated_file11.csv,Placeholderlink,Notes,Biomaterial
Ogden2,25,19,32.02,2.76,"1, ,, 1, ,, 1, ,, 1",unbounded,0.149,-1161.766,updated_file11.csv,Placeholderlink,Notes,Biomaterial
Ogden2,18,14,44.64,5.27,"1, ,, 1, ,, 1, ,, 1",unbounded,0.149,-1161.766,updated_file11.csv,Placeholderlink,Notes,Biomaterial
Ogden2,38,5,22.2,2.92,"1, ,, 1, ,, 1, ,, 1",unbounded,0.149,-1161.766,updated_file11.csv,Placeholderlink,Notes,Biomaterial
Ogden2,26,5,46.48,4.85,"1, ,, 1, ,, 1, ,, 1",unbounded,0.149,-1161.766,updated_file11.csv,Placeholderlink,Notes,Biomaterial
